Y,M,D,HH,MM,BOROUGH_x,LATITUDE,LONGITUDE,STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover_low (%),windspeed_10m (km/h),winddirection_10m (°),BOROUGH_y,VOL,DIRECTION
2019,10,2,16,45,,40.63555,-73.97803,,,MC DONALD AVENUE,0,0,28.7,0.0,0.0,0.0,13.1,249.0,BROOKLYN,84,NB
2019,10,2,16,45,,40.63555,-73.97803,,,MC DONALD AVENUE,0,0,28.7,0.0,0.0,0.0,13.1,249.0,BROOKLYN,107,SB
2019,10,2,16,45,,40.63555,-73.97803,,,MC DONALD AVENUE,0,0,28.7,0.0,0.0,0.0,13.1,249.0,BROOKLYN,84,NB
2019,10,2,16,45,,40.63555,-73.97803,,,MC DONALD AVENUE,0,0,28.7,0.0,0.0,0.0,13.1,249.0,BROOKLYN,107,SB
2019,10,8,18,30,,40.637756,-74.00721,,,8 AVENUE,0,0,16.5,0.0,0.0,0.0,14.9,37.0,MANHATTAN,252,NB
2019,10,8,18,30,,40.637756,-74.00721,,,8 AVENUE,0,0,16.5,0.0,0.0,0.0,14.9,37.0,MANHATTAN,184,NB
2019,10,13,18,30,,40.638794,-73.97075,,,CORTELYOU ROAD,1,0,17.2,0.0,0.0,0.0,1.8,127.0,BROOKLYN,62,EB
2019,10,13,18,30,,40.638794,-73.97075,,,CORTELYOU ROAD,1,0,17.2,0.0,0.0,0.0,1.8,127.0,BROOKLYN,43,WB
2019,10,23,18,15,,40.765675,-73.97624,,,AVENUE OF THE AMERICAS,0,0,18.2,0.0,0.0,3.0,19.5,282.0,MANHATTAN,306,NB
2019,10,23,18,15,,40.765675,-73.97624,,,AVENUE OF THE AMERICAS,0,0,18.2,0.0,0.0,3.0,19.5,282.0,MANHATTAN,323,NB
2019,10,23,18,15,,40.765675,-73.97624,,,AVENUE OF THE AMERICAS,0,0,18.2,0.0,0.0,3.0,19.5,282.0,MANHATTAN,256,NB
2019,10,23,18,15,,40.765675,-73.97624,,,AVENUE OF THE AMERICAS,0,0,18.2,0.0,0.0,3.0,19.5,282.0,MANHATTAN,286,NB
2019,10,23,18,15,,40.765675,-73.97624,,,AVENUE OF THE AMERICAS,0,0,18.2,0.0,0.0,3.0,19.5,282.0,MANHATTAN,354,NB
2019,10,23,18,15,,40.765675,-73.97624,,,AVENUE OF THE AMERICAS,0,0,18.2,0.0,0.0,3.0,19.5,282.0,MANHATTAN,396,NB
2019,10,27,15,30,,40.848694,-73.93047,,,AMSTERDAM AVENUE,0,0,16.3,3.9,3.9,99.0,23.8,119.0,MANHATTAN,52,NB
2019,10,27,15,30,,40.848694,-73.93047,,,AMSTERDAM AVENUE,0,0,16.3,3.9,3.9,99.0,23.8,119.0,MANHATTAN,52,NB
2019,10,27,15,30,,40.848694,-73.93047,,,AMSTERDAM AVENUE,0,0,16.3,3.9,3.9,99.0,23.8,119.0,MANHATTAN,42,NB
2019,11,4,6,0,,40.788055,-73.94433,,,2 AVENUE,0,0,6.1,0.0,0.0,0.0,5.7,288.0,MANHATTAN,0,SB
2019,11,4,6,0,,40.788055,-73.94433,,,2 AVENUE,0,0,6.1,0.0,0.0,0.0,5.7,288.0,MANHATTAN,0,SB
2019,11,12,6,45,,40.759575,-73.96803,,,3 AVENUE,0,0,10.9,0.0,0.0,0.0,12.5,198.0,BRONX,79,SB
2019,11,12,6,45,,40.759575,-73.96803,,,3 AVENUE,0,0,10.9,0.0,0.0,0.0,12.5,198.0,BRONX,53,NB
2019,11,12,6,45,,40.759575,-73.96803,,,3 AVENUE,0,0,10.9,0.0,0.0,0.0,12.5,198.0,BRONX,90,SB
2019,11,12,6,45,,40.759575,-73.96803,,,3 AVENUE,0,0,10.9,0.0,0.0,0.0,12.5,198.0,BRONX,53,NB
2019,11,12,6,45,,40.759575,-73.96803,,,3 AVENUE,0,0,10.9,0.0,0.0,0.0,12.5,198.0,MANHATTAN,0,SB
